query_id,question_group,model_key,model_id,arm,representation,retrieved_chunk_ids,context_hash,context_tokens,prompt_hash,provider_requested,provider_actual,raw_answer,normalized_answer,is_correct,finish_reason,empty_output,cut,input_tokens,output_tokens,latency_ms,retry_count,estimated_cost
Q012,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0400;T1500-0396;T1500-0812;T1500-0397;T1500-1722,7089fa3cee91f1b17662a3a809c2392489f5c536e2c8c9a2b67c0c845bd774d7,5744,6a43c009056d07801d5cff6ce96ce6b0df6bdbc9ef8bf1d293089335931ad358,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5374,129,1726.1339760152623,0,0.00017799
Q013,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0341;T1500-0333;T1500-0344;T1500-0342;T1500-0354,d6dbe5ba4ea5ce9695d85eba435cd7776e5908c6f6984565faf27408bcb4c9ca,6495,b0c183ecec0622b7d43ed42c454ca56f595bae8afc7f9d009fa1b83d0234a83e,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,6069,118,1972.4462979938835,0,0.00019741
Q014,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1537;T1500-1538;T1500-1601;T1500-1535;T1500-1599,33269bd25ce0acd1d4bd18c526fcc9a0658ae4d1c5ff11004f372ef7569019ca,4437,87bfe501b04af0131af9a3de8d7d1aaf05bcc0d5fe1d41d62fccc591a1168749,coreweave,CoreWeave,412.000 đồng/lon,412.000 đồng/lon,1,stop,0,0,4133,1266,11658.755718002794,0,0.00028857
Q015,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1231;T1500-1233;T1500-1232;T1500-1228;T1500-1230,fa47b1e6a87751d3ad0956e906fb28bdf5305413faebb2f2b46db7b17d9acdef,6226,01c4fa067684409bcc19cbcdfe3abf6af7d0ae4c946fdf1f449e2634cfe509bd,coreweave,CoreWeave,15.100.000,15.100.000,1,stop,0,0,6162,167,1736.604660982266,0,0.00020657
Q016,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1014;T1500-1017;T1500-1013;T1500-1094;T1500-1015,846dfa03e8f9d53f2ee4f836b37cb43c70b0abb13383f99d089c0b569b2bf10f,5869,df7d27f5ff6de14ba0740750eef3d769fdc341fe9b706a6e29a5f6a4fc37d870,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5958,218,3277.41134702228,0,0.00020708
Q017,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1803;T1500-1796;T1500-1975;T1500-1947;T1500-1800,60e5bdf498f8258ca78d98839fc2c00a84c639a601afafaf9749069c932ebebb,5891,4647cf7d14198036402d310dad583dc17fe824b3769093cb6612621cfcf5c43a,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5741,214,3818.626268010121,0,0.00020005
Q018,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1630;T1500-1545;T1500-1338;T1500-1627;T1500-1602,6da2fb64cd8a8dfa7b3466a9f80e67fe3deeaa4393098bab20e51618ca63f936,5940,52fc71b902b84908ef9969723e321f1b79d7b8f6a442659c51bf229f8b3cbb1f,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5623,254,2477.2413290047552,0,0.00020171
Q019,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1635;T1500-1637;T1500-1534;T1500-0096;T1500-0067,1792ac84cd75059a296d0103b1f85822157b7c45b3d1a2fe1b436021ac1fb0eb,4574,6b6d7998c941aa406ee5c3b662dfd5b82a17083dc692eaf48a43e8ac1c11cf93,coreweave,CoreWeave,TCVN 7239:2014,TCVN 7239:2014,1,stop,0,0,4454,155,1951.6401150031015,0,0.00015377
Q020,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1564;T1500-1562;T1500-1641;T1500-1555;T1500-1535,1962e3d985b919ec59c8b5c065eda4f9945a1a1fae07a78baa1826b8ecc124f3,3521,1d9473e46b5712cd8d59a4b8f9fd9d56c9c2f04559aee7a4243049f72fe57d90,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,3462,208,2476.001659000758,0,0.0001309
Q021,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1951;T1500-1952;T1500-1949;T1500-1964;T1500-1954,28ac38044b3bff65b78752c0fb21739b7e811ffe5e46a906e45bd2572bf84a9c,4795,92afab3fcdd47d0a8c3536eda9725d4e9657b89e082e41a8b93e44c872020414,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,4202,144,2877.527161006583,0,0.00014478
Q022,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0437;T1500-0533;T1500-0873;T1500-0531;T1500-0436,334c1c3e5b4948eb49d7b8112c7045beb78e2860a5e938470198b2c16b8fdc00,6226,5ad8c8cd526a5fba2a94e54ca80db3ddc7f95449d2a69e3bd3df4c986e0c7929,coreweave,CoreWeave,158.000,158.000,1,stop,0,0,5886,213,4401.143986993702,0,0.00020427
Q023,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1949;T1500-1952;T1500-1951;T1500-1954;T1500-1976,d150c61b19b5d10c809d47d3b16d285b6a6a8e0455d2c83b0d693e37a9810037,4320,e04169b257a7b0cda79ab1fddb99898f991536034079b815f2cc5c00a6363840,coreweave,CoreWeave,7.110.000,7.110.000,1,stop,0,0,3818,186,2375.9986649965867,0,0.00013872
Q024,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0697;T1500-0401;T1500-0685;T1500-0760;T1500-0705,ea699cb8420889aad30a8ecd91132783488e1134990e6013332a8d7e967ec392,2793,028b786aee8a8a0f05fccccb819b0f5ed193e45c221b85d27ee67f6c37e82ecc,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,2666,211,4627.054926007986,0,0.00010741
Q025,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1339;T1500-1331;T1500-0010;T1500-1335;T1500-1327,7d1b4ce3db89f606c05cc2a55f42530c3e565d69dc01d8417b0cb2ba229407a0,5718,353144df720526e008b4129271ebf33fbf09c0328e41370e607c1d527c69b7ee,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5473,277,3081.704936019378,0,0.0002002
Q026,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1353;T1500-1367;T1500-1369;T1500-1348;T1500-1356,e5c52f881c32ed35683e65fefb93af1550611e75c32fd46a47666f667d744ad1,5707,1a5fb2728b1b32c65a03d797bba8160abb79d21e669b4f4be2f9187fd014bfba,coreweave,CoreWeave,91.000,91.000,1,stop,0,0,5384,392,4364.279847010039,0,0.00021248
Q027,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1855;T1500-1854;T1500-1811;T1500-1939;T1500-1810,adae1c4c024d2238f304522cf2ea01c4cc7dff3ba1a46dfed71b5c188180a898,4802,11be51d2e32529e281a8832d2525d7767a8f6cc8598a8df7d8fc4d9cf9734f2b,coreweave,CoreWeave,116.000,116.000,1,stop,0,0,4508,231,2642.936997988727,0,0.00016527
Q028,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-2093;T1500-2097;T1500-2094;T1500-0758;T1500-1044,6e8f5e8aad33958d4607db0fc0134daf7f066d709a9a61aebb73bf6232aadc46,2871,fd031aa9a95af9c5a83a1d1c8b18a6fd6c7f1ff3452e4f88a483f2f0a3973782,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,2498,129,1479.982275981456,0,9.171e-05
Q029,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1938;T1500-1537;T1500-1542;T1500-1529;T1500-1534,0c0a05761ac9e470ac4e5a228e6f09c63b3ff32bec4a53475e4d941b521df3e3,6029,25fa0f2a922aaf10d0d9c3a4b4bbb6906fe4ba4674d36de6385d4be359dbcf39,coreweave,CoreWeave,203.400 VND,203.400 VND,0,stop,0,0,5611,545,5074.733485991601,0,0.00023918
Q030,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-2092;T1500-0389;T1500-0401;T1500-1755;T1500-0760,220e0ae95e26767a30c3af9386c2d7bd0fb86efeb2406031e3cac26ada209c01,4854,c073f730063eafad8da70a91257b7af776cd24d34d4525ec4aa0c581168893c4,coreweave,CoreWeave,TCVN 8491‑2:2011,TCVN 8491‑2:2011,0,stop,0,0,4619,240,2261.302833998343,0,0.00016977
Q031,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1982;T1500-1985;T1500-1988;T1500-1983;T1500-1805,a535e99fe1a236e96c7993fb2e85297bc1c9826a3312ad97bfe41cef77871cd3,4936,fb568509f0078376a2fdda757ed6dd03ad444c3294feee15141c08071a9a5d2f,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,4781,245,3322.28873798158,0,0.00017528
Q032,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1841;T1500-1839;T1500-1941;T1500-1938;T1500-1809,e3d98e9ae2092b6ad58ea4924b0359fc45f4c698f2ee144fe7fe6ede8b456d06,5472,81fddb8bfeaa7ea3452b36b4335e06953b111382f891a7cf9048937cdabac8de,coreweave,CoreWeave,114.500,114.500,1,stop,0,0,5026,161,1952.9322120069992,0,0.00017171
Q033,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1550;T1500-1558;T1500-1549;T1500-1557;T1500-1554,c9b5f2ed29cb67a1a10e1de0baf2c136875178225b9f6b780e5175eaa4d63fbd,6062,e6b9ee1d4b3869925e40079ee16594902f91474b56c4503f83036bf6fe0bde3c,coreweave,CoreWeave,QCVN 16: 2019/ BXD; QCVN 08: 2020/ BCT,QCVN 16: 2019/ BXD; QCVN 08: 2020/ BCT,1,stop,0,0,5860,272,3109.4416979758535,0,0.00021116
Q034,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1975;T1500-1976;T1500-1802;T1500-1920;T1500-1803,48639590978282065124596aaeb5e8e37a3304765f508f380bfec222a82f2e90,5425,594d88ac00fd003f0cafa564203e570fb85f8435c1dd422008605798f34dfe9c,coreweave,CoreWeave,c Quỳnh,c Quỳnh,0,stop,0,0,5253,560,5435.838667006465,0,0.00023039
Q035,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1617;T1500-1615;T1500-1627;T1500-1648;T1500-1634,d73352d3ec693c50c38f0e68c3b860c30963fd5f3760ba38d69f408a5792a5e3,5279,6ffb777731fcfaea100e0f2063a68ad7f65b82f8cb0c9fa63ea238c8aab90252,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5057,433,6139.974638004787,0,0.000208
Q036,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1594;T1500-0070;T1500-1591;T1500-0107;T1500-1546,0e99bb74cf181bece54058dbf348ce06b615360e7af5eeab52b1f3685bfcbbb2,5961,e8951c0657da0525f0ba202e46a214a9f38290a6203fbd0ddf0b348e65878aaa,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5446,105,1687.7893790078815,0,0.00017703
Q037,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1200;T1500-1201;T1500-1199;T1500-1202;T1500-1205,167a67d6d1d91ce4969022536ab7916d2051b922d2ba44539dd342e510305011,6336,b4942d369fcfaf4dbe239541d1e8094ba9c75fc17224d8284caf7e5f44c4fea7,coreweave,CoreWeave,Công ty TNHH Thiết bị điện và chiếu sáng Miền Bắc,Công ty TNHH Thiết bị điện và chiếu sáng Miền Bắc,1,stop,0,0,5922,207,2675.869226019131,0,0.00020457
Q038,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1649;T1500-1651;T1500-1422;T1500-1648;T1500-0129,8ca3df97464d5f2789e32dfeb656e630e31f91e57f668fb8f2ef09aa17e13aff,4898,c1cab9563082895fe3ab133e170c0aca8b6753790ecec4f92ce85cf1199c8309,coreweave,CoreWeave,đ/tấm,đ/tấm,1,stop,0,0,4528,135,1526.2011299782898,0,0.00015339
Q039,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1309;T1500-0430;T1500-1335;T1500-0415;T1500-0420,ff2f0c28c4acb91961dba5b8d17d175ab4e713d87d8579f38c8aa4c55013b831,6658,a0e8ec98cee83215062583da96e588ff1c72a57471657570840f7177023cd024,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,6280,193,2440.80746799591,0,0.00021349
Q040,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0299;T1500-0300;T1500-1749;T1500-0298;T1500-1747,1934ffbdfcf6825567600bdbb839bb058b4d0a76a023519d76c453a2cc6e33c9,5666,a9289ec89441bdf492d9f1deb56e89d980714586dfcc46492434838cd0857abb,coreweave,CoreWeave,tại chân công trình,tại chân công trình,1,stop,0,0,5365,301,3136.654770001769,0,0.00020008
Q041,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1706;T1500-1709;T1500-1705;T1500-1699;T1500-1685,d4670afa44de38ce9efd25cfb7b327c42906e9bfb61e43854641bf89206f936d,5299,8df80baace7c61cbe7508ff0fe8225af8866db2a99639d3c5c76c1f0c1afbb9a,coreweave,CoreWeave,đ/m3,đ/m3,1,stop,0,0,5006,335,3449.0405789983924,0,0.00019373
Q042,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1627;T1500-1629;T1500-1591;T1500-1613;T1500-0070,050e9ee4fa9e937a59d3a6b86ab70dac79f059d06b40311456fad2e4cb1004fd,5979,2384b031ebc0aa37a46a1a3e1311fd8c10cd01afb6d57f878078e6e888bb2d96,coreweave,CoreWeave,Giá tại nơi sản xuất.,Giá tại nơi sản xuất.,0,stop,0,0,5628,1188,9499.79276501108,0,0.00032328
Q043,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0534;T1500-0528;T1500-0527;T1500-0432;T1500-0529,86b268019f22f65d5895bc2e31c5bf0ed400fc35b374834da4040b2ea6bfd553,5341,ac5ea334fa49e673b30ce25bd557b2593a220f0785589b13d554d3743f28ac95,coreweave,CoreWeave,QCVN 16:2023/BX D,QCVN 16:2023/BX D,1,stop,0,0,5153,274,2712.8150729986373,0,0.00019021
Q044,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0225;T1500-0226;T1500-0224;T1500-0223;T1500-0885,21486441e03479370ed5b0074e8c2584a9226b07e5dd5172ec278768e366c8cf,5382,08d16283f1093edc3343d825ae8b70e1ce2c13d905f060e344c1f2f1ee4b5ce1,coreweave,CoreWeave,Công ty CP Austnam,Công ty CP Austnam,1,stop,0,0,5102,230,2197.8584520111326,0,0.00018296
Q045,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1614;T1500-1537;T1500-1613;T1500-1534;T1500-1637,1864986dccb3b733f75c9be13d99a3b9e4aae0d76d8e2bdbd5ccac8e6e8b2fa3,6022,09b3895889bbc97c741acbe71299df23fdd8083dd78d365298bc2ba1e144e413,coreweave,CoreWeave,300.926,300.926,1,stop,0,0,5710,386,3386.3886650069617,0,0.00022148
Q046,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0072;T1500-1631;T1500-1623;T1500-1542;T1500-1625,fa0d09797ac5a7fe9514fa142f7c2a7cbd2f7c3e8b7ee9821fa0d8893af551e9,4810,4244f1fa8433f16bd196cdb09e7ce2bda35af8dee13069c42ef417730814c495,coreweave,CoreWeave,140.37,140.37,0,stop,0,0,4437,776,9691.86315900879,0,0.00023399
Q047,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1951;T1500-1952;T1500-1949;T1500-1954;T1500-1955,df7f0390b7fc64f6972f930332a122844fb4d6b175d1f10d1f42aa91060cf689,4516,ae7e38c77f5e4ce2eb93c18f88ed8c22a5f7f1c516c73f70b913ac9db4557671,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,3918,224,3642.253018973861,0,0.00014666
Q048,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1980;T1500-1979;T1500-1978;T1500-1975;T1500-1976,338475d69b1cd551d6c48a9b2da500966a86713118475a9ce60097e097e2f505,5214,cd7039b51f321a80301a70cf066a7d03d7255b3869f115063bea80e9b2327b3f,coreweave,CoreWeave,18.015.365,18.015.365,1,stop,0,0,5127,174,9166.96351300925,0,0.00017643
Q049,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1124;T1500-1971;T1500-1128;T1500-1121;T1500-1127,3754fd03a3c730bd68601d2f43c30fe8dfd6b932ea9065f8f5266c7db08c9147,5829,591ab0b906257e68affd84332cc26d692aae3d52d6922d78928d495991df9547,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5609,311,2787.1148489939515,0,0.0002087
Q050,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1976;T1500-1988;T1500-1978;T1500-1826;T1500-1975,900993f3791938d90806031b97fc03822d787a42529158b5904c3d4e7c1aa700,5493,133461b88f29a00f838a358b6c789fee6af7bb053b694b665a885f73b955ec18,coreweave,CoreWeave,14.500.000,14.500.000,1,stop,0,0,5335,313,3300.78935198253,0,0.00020074
Q051,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1232;T1500-1231;T1500-1233;T1500-1234;T1500-1228,223edeaa247f08b920d58222105d702c1e9753afedc1d436c7279c4f54e4374d,5890,137ddb6a15b19e2a70adf1a5cb37aaf954e563e1061603220e86449e0a26206e,coreweave,CoreWeave,Công ty Cổ phần VONTA VIỆT NAM,Công ty Cổ phần VONTA VIỆT NAM,1,stop,0,0,5825,597,21763.420244998997,0,0.00025236
Q052,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1920;T1500-1975;T1500-1951;T1500-1964;T1500-1967,d9f8eff72a55729fa319a1ec97408fcb262fd6c93088ed5359641caa29a7ca0a,5912,df79535aec2e21fe6aa8fe6031be48f591c9f062683dd6cc4d593ee1dcdd27df,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5484,175,1808.3535179903265,0,0.00018727
Q053,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0927;T1500-1861;T1500-1730;T1500-1214;T1500-1213,e58bfdffd7b1b2b0dc37595eb46ca67249f4f79e5135b350efdcf10946f6b403,5870,f84d8b9d309928c91725ce0e9b3f91893e2ff989ec193ecda8e402fe5b113aca,coreweave,CoreWeave,6.750.576,6.750.576,1,stop,0,0,5467,341,3163.4198460087646,0,0.00020834
Q054,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1154;T1500-1155;T1500-1153;T1500-1147;T1500-1160,039cf68f3f46420e66691459460cb1a36faccde6a50b9472b3f45804d8011dd7,5429,1b54be9e321fb748ca925c163e34c4090975d478bd3a7227dc16b30da8596efb,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,4901,127,1437.7990259963553,0,0.00016354
Q055,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1061;T1500-1976;T1500-1920;T1500-1947;T1500-1975,1ee2238764c617aa300534914b0d56bdae858df7a2013bfd10da909c8d3d172f,5621,6f34be818eaf0ef192acdb433494303b5dd6d51d6ebaff8acc220ad58ec34829,coreweave,CoreWeave,7.450.000,7.450.000,1,stop,0,0,5441,222,2199.122241989244,0,0.00019209
Q056,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0300;T1500-0299;T1500-1749;T1500-1747;T1500-0298,3a21321782b3de07c4b226c768caaa283bb61b85afe7bc2f2b19cab5c96c9300,5666,e4ec89733018c1b75f23d2dfbd017b2e534371b90d8229b12e2fdd4b13f3f829,coreweave,CoreWeave,23.000,23.000,1,stop,0,0,5348,190,2257.4007080111187,0,0.00018514
Q057,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1832;T1500-1859;T1500-1933;T1500-1830;T1500-0211,f0c041c8e39891616927d805a8f963fab67d8184f85b2c7e00e345a7f60020ff,5457,075c5251ea06889d7ab73019018200168c6c12fd89b97d79aeb0d7fd1603bcfd,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5214,122,1645.1416960044298,0,0.00017228
Q058,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0097;T1500-1617;T1500-1648;T1500-1618;T1500-1639,df622c2dfa7772cdd26071aeaef62e40db6c72ca7f986777944098af86816630,5488,069cc08cba25f33d04fed705c195d48ae2e1c2c5cffa0d68ddc6bf426c011763,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5189,224,2674.807133997092,0,0.00018479
Q059,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1346;T1500-1350;T1500-1628;T1500-1418;T1500-1381,a59cf48d552857fb6db87825901679bf37ed7f18ae4493912e53029ec7680d29,88,5eebb718d1d041305ecbdc652ac34d85a847ac887aa8a0ff46088ebab7ab2302,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,251,186,1926.5649689768907,0,3.171e-05
Q060,price,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-0225;T1500-0226;T1500-0224;T1500-0223;T1500-0227,af047e41bc37f436e943459af1de88288df349e474d679b84b9272d46f504e5b,5338,f5e06f0339d0ebf0ad7aee28cf3a8146d678469c6b7469eae31b954d1b30944b,coreweave,CoreWeave,235.455,235.455,1,stop,0,0,5008,231,2851.468812994426,0,0.00018027
Q061,attribute,oss20b,openai/gpt-oss-20b,T1500_HTML,HTML,T1500-1560;T1500-1558;T1500-1533;T1500-1546;T1500-1561,ba4c6fee4254ca26b41d6cd7099d88a39f1af09498a4ac41be619fa772fd3b4b,6119,4a599dba192a807030bc8988776a6e1006990509bea431c08ae5a83876715065,coreweave,CoreWeave,KHÔNG CÓ,KHÔNG CÓ,0,stop,0,0,5816,165,2148.0532349960413,0,0.00019593
